catalog_number,item_name,item_type,price,color,image_url,link
BC-SO-056,Southampton sofa sleeper,sofas,"$10,390.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Southampton_sofa_sleeper.jpg,https://www.boconcept.com/en-us/p/southampton/4990530-14:2063/
BC-SO-057,Milano sofa with chaise longue right,sofas,"$13,590.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Milano_sofa_with_chaise_longue_right.jpg,https://www.boconcept.com/en-us/p/milano/480ab00-14:3331-21:5/
BC-SO-058,Milano 3-seater sofa,sofas,"$7,349.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Milano_3_seater_sofa.jpg,https://www.boconcept.com/en-us/p/milano/4803001-14:3331/
BC-SO-059,Southampton sofa sleeper,sofas,"$13,290.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Southampton_sofa_sleeper.jpg,https://www.boconcept.com/en-us/p/southampton/499aa00-14:2063/
BC-SO-060,Bergamo 5 seater,sofas,"$10,490.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Bergamo_5_seater.jpg,https://www.boconcept.com/en-us/p/bergamo/443ae00-14:2250/
BC-SO-061,Salamanca 4-seater lounge sofa,sofas,"$10,890.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Salamanca_4_seater_lounge_sofa.jpg,https://www.boconcept.com/en-us/p/salamanca/448al00-10:448_sofaleg_0075-14:3201-21:4/
BC-SO-062,Carlton corner sofa,sofas,"$14,690.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Carlton_corner_sofa.jpg,https://www.boconcept.com/en-us/p/carlton/417af42-10:40104200_1-14:2257-21:5/
BC-SO-063,Carlton corner sofa with resting unit,sofas,"$17,590.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Carlton_corner_sofa_with_resting_unit.jpg,https://www.boconcept.com/en-us/p/carlton/417ag42-10:40104200_1-14:2250-21:4/
BC-SO-064,Amsterdam ottoman,sofas,"$1,699.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Amsterdam_ottoman.jpg,https://www.boconcept.com/en-us/p/amsterdam/4350100-10:435_sofalegs_2-14:2063/
BC-SO-065,Salamanca sofa with resting unit,sofas,"$9,889.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray",BoConcept_catalog/sofas/Salamanca_sofa_with_resting_unit.jpg,https://www.boconcept.com/en-us/p/salamanca/448ap00-10:448_sofaleg_0075-14:2063/
BC-SO-066,"Osaka sofa with resting unit, tufted seat",sofas,"$4,699.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Osaka_sofa_with_resting_unit_tufted_seat.jpg,https://www.boconcept.com/en-us/p/osaka/433ce22-10:40104220_3-14:3145-21:4/
BC-SO-067,Bergamo 2.5-seater lounge sofa,sofas,"$9,829.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Bergamo_25_seater_lounge_sofa.jpg,https://www.boconcept.com/en-us/p/bergamo/443be00-14:2250-21:5/
